Record_ID,Analysis_Date,Drug_Name,Brand_Name,Therapeutic_Class,NDC_Code,Insurance_Plan_Name,Plan_ID,Contract_Year,Current_Formulary_Tier,Previous_Formulary_Tier,Formulary_Change_Date,Days_Since_Formulary_Change,Tier_Change_Direction,Access_Barriers,Prior_Authorization_Required,Step_Therapy_Required,Quantity_Limit_Monthly,Current_Monthly_Prescriptions,Previous_Monthly_Prescriptions,Utilization_Change_Percent,Utilization_Trend,Current_Patient_Copay,Previous_Patient_Copay,Copay_Change_Amount,Plan_Cost_Per_Prescription,Total_Cost_Per_Prescription,Cost_Per_Member_Per_Month,Prior_Auth_Approval_Rate,Average_Prior_Auth_Days,Prescription_Abandonment_Rate,Switch_to_Alternative_Rate,Generic_Substitution_Rate,Adherence_Rate_Post_Change,Member_Appeals_This_Month,Appeals_Approved,Exception_Requests,Exceptions_Granted,Member_Satisfaction_Score,Market_Share_Percent,Competing_Drugs_Same_Class,Price_Relative_to_Competitors,Geographic_Region,State_Code,Urban_Rural_Classification,Primary_Age_Group,Month_Year,Quarter,Fiscal_Year,Formulary_Risk_Score,Access_Disruption_Probability,Cost_Trend_Projection
FIA001187,2022-01-07,Amoxicillin,Amoxil,Antibiotics,66392-837-29,Medicare Part D Plan B,PLAN_4404,2022,Tier 2,Specialty Tier,2021-10-06,93,Improved,None,No,No,,334,258,29.6,Increased,25.71,138.26,-112.55,63.57,89.28,29.82,0.0,0,0.016,0.237,0.857,0.875,11,5,2,0,3.7,15.5,3,Higher,Midwest,FL,Suburban,51-65,2022-01,Q1_2022,2021,1.1,0.402,Decreasing
FIA001267,2022-01-07,Amoxicillin,Amoxil,Antibiotics,95428-295-89,VA Plan,PLAN_4197,2022,Specialty Tier,Non-Formulary,2021-03-15,298,Improved,Step Therapy,No,Yes,,140,141,-0.4,Stable,110.52,643.23,-532.71,57.72,168.24,23.55,0.0,0,0.216,0.186,0.764,0.846,9,5,8,8,2.3,25.4,6,Higher,Southeast,NC,Suburban,66-75,2022-01,Q1_2022,2021,9.8,0.89,Increasing
FIA001896,2022-01-08,Amoxicillin,Amoxil,Antibiotics,96444-499-97,Tricare Standard,PLAN_4352,2022,Non-Formulary,Non-Formulary,2021-04-05,278,No Change,Non-Formulary Status,No,No,,437,441,-0.8,Stable,554.39,511.89,42.5,151.81,706.2,308.61,0.0,0,0.193,0.338,0.596,0.503,6,6,20,1,4.6,26.1,5,Higher,West,MI,Urban,75+,2022-01,Q1_2022,2021,5.4,0.68,Decreasing
FIA001011,2022-01-10,Amoxicillin,Amoxil,Antibiotics,18841-116-48,Commercial Plan Alpha,PLAN_8975,2022,Non-Formulary,Non-Formulary,2021-07-03,191,No Change,Non-Formulary Status,No,No,,837,877,-4.6,Stable,394.71,439.84,-45.13,163.59,558.3,467.3,0.0,0,0.077,0.323,0.615,0.543,6,5,8,4,2.3,33.7,2,Higher,Northeast,NC,Rural,75+,2022-01,Q1_2022,2021,4.7,0.894,Decreasing
FIA000521,2022-01-13,Amoxicillin,Amoxil,Antibiotics,20372-277-83,Medicaid Plan Y,PLAN_8275,2022,Non-Formulary,Tier 1,2021-10-20,85,Worsened,Non-Formulary Status,No,No,,282,505,-44.1,Decreased,484.75,12.74,472.01,63.3,548.05,154.55,0.0,0,0.19,0.376,0.828,0.912,8,7,4,13,4.4,30.6,7,Similar,Northeast,FL,Rural,18-35,2022-01,Q1_2022,2021,9.3,0.053,Decreasing
FIA001537,2022-01-16,Amoxicillin,Amoxil,Antibiotics,34875-861-23,Medicare Part D Plan B,PLAN_3453,2022,Tier 2,Non-Formulary,2021-07-24,176,Improved,None,No,No,,805,614,31.2,Increased,21.69,286.7,-265.01,125.14,146.83,118.2,0.0,0,0.071,0.278,0.237,0.786,11,8,18,13,3.0,23.4,6,Lower,West,PA,Suburban,18-35,2022-01,Q1_2022,2021,6.3,0.242,Stable
FIA000957,2022-01-17,Amoxicillin,Amoxil,Antibiotics,64141-594-93,Medicare Part D Plan A,PLAN_3046,2022,Tier 2,Tier 3,2021-02-16,335,Improved,None,No,No,,786,509,54.4,Increased,35.66,63.5,-27.84,163.64,199.3,156.65,0.0,0,0.054,0.189,0.465,0.862,15,10,9,1,2.5,31.9,8,Similar,Southeast,NY,Urban,36-50,2022-01,Q1_2022,2021,3.9,0.274,Increasing
FIA002848,2022-01-17,Amoxicillin,Amoxil,Antibiotics,36313-927-15,Medicare Part D Plan A,PLAN_2620,2022,Tier 2,Specialty Tier,2021-06-28,203,Improved,Quantity Limit,No,No,90.0,663,511,29.9,Increased,38.2,186.96,-148.76,171.16,209.36,138.81,0.0,0,0.076,0.119,0.581,0.439,15,2,4,0,4.4,7.6,7,Higher,Southeast,FL,Rural,36-50,2022-01,Q1_2022,2021,1.8,0.066,Increasing
FIA000279,2022-01-28,Amoxicillin,Amoxil,Antibiotics,31383-414-52,Tricare Standard,PLAN_3531,2022,Tier 1,Tier 1,2021-03-27,307,No Change,None,No,No,,755,824,-8.3,Decreased,16.04,10.08,5.96,105.54,121.58,91.79,0.0,0,0.049,0.135,0.58,0.547,3,0,1,3,3.6,8.1,8,Similar,Southeast,CA,Urban,18-35,2022-01,Q1_2022,2021,3.0,0.385,Stable
FIA000618,2022-02-02,Amoxicillin,Amoxil,Antibiotics,10147-252-60,Commercial Plan Alpha,PLAN_1551,2022,Tier 2,Non-Formulary,2021-11-18,76,Improved,None,No,No,,347,241,44.4,Increased,40.66,291.32,-250.66,160.4,201.06,69.77,0.0,0,0.052,0.236,0.551,0.439,8,5,4,14,2.7,32.4,7,Lower,Southwest,PA,Urban,36-50,2022-02,Q1_2022,2021,4.1,0.454,Increasing
FIA001157,2022-02-02,Amoxicillin,Amoxil,Antibiotics,60242-690-99,Commercial Plan Beta,PLAN_3910,2022,Tier 3,Specialty Tier,2021-07-18,199,Improved,None,No,No,,739,701,5.4,Increased,95.01,225.17,-130.16,110.72,205.73,152.03,0.0,0,0.041,0.234,0.369,0.755,1,2,10,9,3.2,30.6,7,Higher,Southwest,MI,Suburban,66-75,2022-02,Q1_2022,2021,7.7,0.445,Stable
FIA002711,2022-02-06,Amoxicillin,Amoxil,Antibiotics,31106-845-92,Medicaid Plan Y,PLAN_4545,2022,Tier 1,Tier 2,2021-04-01,311,Improved,Quantity Limit,No,No,30.0,274,300,-8.6,Decreased,5.31,24.3,-18.99,116.06,121.37,33.26,0.0,0,0.011,0.159,0.48,0.903,9,7,0,5,3.7,24.3,3,Higher,Southeast,OH,Suburban,75+,2022-02,Q1_2022,2021,7.5,0.425,Decreasing
FIA002567,2022-02-11,Amoxicillin,Amoxil,Antibiotics,71794-476-77,Tricare Standard,PLAN_9260,2022,Specialty Tier,Tier 3,2021-12-21,52,Worsened,None,No,No,,262,264,-0.7,Stable,290.38,63.19,227.19,62.81,353.19,92.54,0.0,0,0.099,0.067,0.517,0.645,11,8,7,3,2.6,25.5,2,Lower,West,GA,Rural,51-65,2022-02,Q1_2022,2021,9.6,0.152,Stable
FIA002870,2022-02-25,Amoxicillin,Amoxil,Antibiotics,73952-634-81,Medicaid Plan X,PLAN_4458,2022,Tier 3,Non-Formulary,2021-09-13,165,Improved,Step Therapy,No,Yes,,855,951,-10.0,Decreased,72.77,615.44,-542.67,151.38,224.15,191.65,0.0,0,0.019,0.069,0.899,0.837,10,0,14,6,3.0,14.8,3,Similar,Midwest,PA,Rural,36-50,2022-02,Q1_2022,2021,6.3,0.734,Stable
FIA000218,2022-03-07,Amoxicillin,Amoxil,Antibiotics,16117-888-81,Medicaid Plan X,PLAN_3476,2022,Tier 1,Tier 3,2021-06-30,250,Improved,None,No,No,,844,675,25.1,Increased,6.71,61.33,-54.62,90.39,97.1,81.95,0.0,0,0.034,0.349,0.812,0.732,3,0,14,14,4.9,27.7,2,Higher,West,TX,Rural,18-35,2022-03,Q1_2022,2021,5.6,0.167,Increasing
